id,card_id,timestamp,user_email,action,details
33166569-50e6-4114-9f51-c768ad68e660,4046172c-e61f-496a-9abb-b89a2d008009,2026-09-22T17:30:41.031576,presidencia@teste.com,Conclusão,Alterou Status de 'active' para 'concluido'
5bada5d6-5364-45f0-8d5a-777fa8043238,4046172c-e61f-496a-9abb-b89a2d008009,2026-09-22T17:30:44.701376,presidencia@teste.com,Reabertura,Alterou Status de 'concluido' para 'active'
5d5aafa0-df71-4007-949a-499cbf2b9aff,42f1a078-c58f-48fc-84ba-48bb03371216,2026-09-22T17:41:01.826514,presidencia@teste.com,Conclusão,Alterou Status de 'active' para 'concluido'
95412e30-728a-4a33-88cc-a7890b21d275,42f1a078-c58f-48fc-84ba-48bb03371216,2026-09-22T17:41:13.328043,presidencia@teste.com,Reabertura,Alterou Status de 'concluido' para 'active'
a28e866d-02e9-43b4-b60c-ddfa467695a0,228d120a-ae9c-468e-ae0a-0f14669fdb02,2026-09-22T17:51:20.160302,presidencia@teste.com,Conclusão,Alterou Status de 'active' para 'concluido'
3a6f2053-e85b-41c3-b1ec-16b076c6c66f,42f1a078-c58f-48fc-84ba-48bb03371216,2026-09-22T17:51:27.387756,presidencia@teste.com,Conclusão,Alterou Status de 'active' para 'concluido'
2ea228dc-d8cc-4161-baf1-cdca1b21d83d,a4232aca-2229-4ecb-ab8d-fc3a62f5f535,2026-09-22T17:51:29.278482,presidencia@teste.com,Conclusão,Alterou Status de 'active' para 'concluido'
aaf923c5-9f37-48d2-a1d4-9c018cc86e81,323bcf96-91e1-40a4-9a8b-49e161df0fed,2026-09-22T17:51:46.607883,presidencia@teste.com,Conclusão,Alterou Status de 'active' para 'concluido'
70360e0c-d381-4f31-a263-cd2a918ea257,bdffcf7d-6d2a-48c1-ae31-e85e4ea98b65,2026-09-22T17:51:47.546195,presidencia@teste.com,Conclusão,Alterou Status de 'active' para 'concluido'
9eb26025-b7c4-41dd-b070-a384670fd246,4046172c-e61f-496a-9abb-b89a2d008009,2026-09-22T17:51:56.465375,presidencia@teste.com,Conclusão,Alterou Status de 'active' para 'concluido'
