id,title,category,secretary_group,director_name,room_location,people_count,requires_ti,has_car_access,catering_services,due_date,description,created_by,created_at,status
42f1a078-c58f-48fc-84ba-48bb03371216,dfsfdsfs,interna,presidencia,YURI,DIR 1,8,True,True,COFFEE,2026-09-22T09:00:00,,presidencia@teste.com,2026-09-22T14:24:50.952561,concluido
323bcf96-91e1-40a4-9a8b-49e161df0fed,teste,interna,presidencia,VICENTE,SL DANIEL,10,True,True,"CAFÉ,BOLACHA,ÁGUA COPO DESCARTÁVEL",2026-09-22T12:00:00,ver lista de convidados,presidencia@teste.com,2026-09-22T14:34:10.922569,active
bdffcf7d-6d2a-48c1-ae31-e85e4ea98b65,teste,interna,presidencia,VICENTE,SL DANIEL,10,True,True,"CAFÉ,BOLACHA,ÁGUA COPO DESCARTÁVEL",2026-09-22T12:00:00,ver lista de convidados,presidencia@teste.com,2026-09-22T14:34:14.483493,active
7c19ead5-f1d3-4005-85bc-0efd14e0b724,teste4,externa,presidencia,,,10,True,True,"CAFÉ,BOLACHA,ÁGUA COPO DESCARTÁVEL",2026-09-22T12:00:00,ver lista de convidados,presidencia@teste.com,2026-09-22T14:34:57.763660,active
2d4aca84-0a8b-4d32-a946-80607662100d,C,evento,presidencia,,B AUDITÓRIO,10,False,True,,2026-09-22T12:00:00,ver lista de convidados,presidencia@teste.com,2026-09-22T14:35:31.259320,active
4046172c-e61f-496a-9abb-b89a2d008009,NOVA ,externa,presidencia,"ANDERSON,DANIEL,DIRETORES,ELOIR","DIR 1,B HARVARD",20,False,True,COFFEE,2026-09-22T08:00:00,"JULIANA
THAIS",presidencia@teste.com,2026-09-22T14:55:58.293337,concluido
a4232aca-2229-4ecb-ab8d-fc3a62f5f535,testeeeee,interna,presidencia,ANDRÉ,,8,False,False,,2026-09-22T09:00:00,,presidencia@teste.com,2026-09-22T15:10:12.188331,concluido
228d120a-ae9c-468e-ae0a-0f14669fdb02,juju,evento,presidencia,"DANIEL,DAVID",DIR 2,4,True,True,ESTRELA,2026-09-22T10:00:00,,presidencia@teste.com,2026-09-22T15:15:21.682234,active
1821b6e3-d49c-447e-b10a-bd331678f919,AA,externa,presidencia,COLEGIADOS,CAD,22,False,True,,2026-09-22T09:00:00,,presidencia@teste.com,2026-09-22T17:54:55.598796,active
0599e38d-697e-4b19-bce1-5f6670624199,B,externa,presidencia,,,,True,True,,2026-09-22T09:00:00,,presidencia@teste.com,2026-09-22T18:15:58.868949,active
9d6c2547-049d-4a5a-afd9-09d38c82a017,Entrega Minas Paraná ,evento,presidencia,,COPA,25,True,True,COFFEE,2026-09-26T13:30:00,Falar com Vivian ou Adriana,presidencia@teste.com,2026-09-22T18:16:23.449282,active
9cf033f8-ce22-46a6-9fe4-2d2dfb4cc590,Aaaaa pilha palito,externa,presidencia,,,,True,True,,2026-09-22T09:00:00,,presidencia@teste.com,2026-09-22T18:17:31.548117,active
